Date,Omega,Precipitación,Evaporación
1980-06-01,-0.056,6.198,0.719
1980-06-02,-0.035,5.837,0.687
1980-06-03,-0.028,2.517,0.85
1980-06-04,-0.008,2.411,1.037
1980-06-05,-0.021,2.089,1.131
1980-06-06,-0.048,2.228,0.996
1980-06-07,-0.05,3.068,0.905
1980-06-08,0,2.474,1.101
1980-06-09,0.034,0.98,0.979
1980-06-10,0,1.154,0.929
1980-06-11,0.011,1.402,0.83
1980-06-12,0.013,0.655,0.52
1980-06-13,0.004,0.775,0.236
1980-06-14,-0.037,1.748,0.22
1980-06-15,-0.062,3.26,0.464
1980-06-16,-0.048,3.371,0.864
1980-06-17,-0.01,2.261,0.848
1980-06-18,-0.015,1.396,0.917
1980-06-19,-0.026,2.851,0.78
1980-06-20,-0.026,3.304,0.815
1980-06-21,0.011,1.187,0.71
1980-06-22,-0.02,2.817,0.56
1980-06-23,-0.009,2.448,0.465
1980-06-24,-0.001,2.268,0.562
1980-06-25,0.006,1.189,0.419
1980-06-26,0.002,1.118,0.743
1980-06-27,-0.013,1.18,0.86
1980-06-28,-0.05,1.628,0.672
1980-06-29,-0.027,2.327,0.68
1980-06-30,0.006,0.795,1.015
1980-07-01,-0.029,0.363,1.923
1980-07-02,-0.04,1.937,1.383
1980-07-03,-0.024,4.354,0.828
1980-07-04,-0.042,2.192,0.697
1980-07-05,-0.039,2.67,1.673
1980-07-06,-0.026,1.193,1.997
1980-07-07,0,0.355,2.109
1980-07-08,-0.057,1.168,2.737
1980-07-09,-0.011,2.951,2.088
1980-07-10,-0.033,2.734,1.319
1980-07-11,0.011,1.135,1.416
1980-07-12,-0.04,0.793,2.036
1980-07-13,-0.025,1.251,1.612
1980-07-14,-0.002,0.431,1.69
1980-07-15,-0.027,0.781,2.039
1980-07-16,-0.035,1.57,2.002
1980-07-17,-0.031,0.766,2.013
1980-07-18,-0.046,1.437,1.782
1980-07-19,-0.045,0.473,1.142
1980-07-20,-0.045,1.452,0.967
1980-07-21,-0.061,3.157,0.892
1980-07-22,-0.024,3.539,0.522
1980-07-23,-0.003,2.74,0.174
1980-07-24,0.026,0.749,0.018
1980-07-25,-0.035,1.24,0.008
1980-07-26,-0.06,2.582,0.164
1980-07-27,-0.009,2.337,0.238
1980-07-28,-0.006,2.287,0.308
1980-07-29,-0.015,1.316,0.281
1980-07-30,-0.009,0.34,0.561
1980-07-31,-0.031,0.259,0.976
1980-08-01,-0.056,0.686,1.039
1980-08-02,-0.056,1.833,1.333
1980-08-03,-0.025,1.709,1.632
1980-08-04,-0.042,2.846,1.43
1980-08-05,-0.022,4.678,0.903
1980-08-06,-0.022,4.023,1.119
1980-08-07,-0.015,1.839,1.842
1980-08-08,-0.045,2.612,2.246
1980-08-09,-0.035,3.004,1.906
1980-08-10,-0.037,4.495,2.411
1980-08-11,-0.027,5.8,2.733
1980-08-12,0.022,2.521,2.643
1980-08-13,-0.021,2.799,3.204
1980-08-14,-0.047,5.554,2.827
1980-08-15,-0.067,8.316,2.014
1980-08-16,-0.072,9.672,0.572
1980-08-17,-0.041,5.167,1.04
1980-08-18,-0.018,3.36,1.657
1980-08-19,-0.001,3.572,2.104
1980-08-20,0.004,2.968,1.735
1980-08-21,0.008,2.866,1.385
1980-08-22,-0.01,1.41,2.112
1980-08-23,0.022,0.558,2.595
1980-08-24,0.004,0.791,2.043
1980-08-25,-0.016,0.804,1.103
1980-08-26,-0.046,2.622,0.54
1980-08-27,-0.039,1.798,0.971
1980-08-28,-0.028,0.446,1.365
1980-08-29,0.002,0.59,0.992
1980-08-30,-0.029,2.242,0.605
1980-08-31,-0.064,5.084,0.618
1981-06-01,0.006,2.106,0.203
1981-06-02,-0.025,5.079,0.221
1981-06-03,-0.032,3.867,0.386
1981-06-04,-0.008,4.159,0.766
1981-06-05,-0.003,2.033,1.441
1981-06-06,0,3.475,1.471
1981-06-07,0.016,2.537,0.537
1981-06-08,-0.028,1.436,0.068
1981-06-09,-0.023,2.77,0.085
1981-06-10,-0.049,2.96,0.232
1981-06-11,-0.019,3.374,0.378
1981-06-12,-0.029,3.114,0.474
1981-06-13,-0.045,5.446,0.443
1981-06-14,-0.061,5.866,0.486
1981-06-15,-0.048,6.903,0.565
1981-06-16,0.037,4.496,0.51
1981-06-17,0.058,0.5,0.328
1981-06-18,-0.01,0.247,1.193
1981-06-19,-0.03,1.967,1.531
1981-06-20,-0.034,2.964,0.918
1981-06-21,-0.019,3.633,0.583
1981-06-22,-0.037,3.995,0.571
1981-06-23,0.008,1.661,0.951
1981-06-24,-0.04,4.1,1.043
1981-06-25,-0.034,3.755,1.363
1981-06-26,0,1.478,1.536
1981-06-27,0.001,2.168,1.087
1981-06-28,-0.022,1.146,1.711
1981-06-29,-0.04,4.06,1.426
1981-06-30,-0.035,6.715,1.139
1981-07-01,-0.012,3.553,1.217
1981-07-02,-0.007,3.478,1.792
1981-07-03,-0.038,6.724,1.856
1981-07-04,-0.035,6.79,1.056
1981-07-05,0.011,3.649,0.39
1981-07-06,0.006,1.739,0.023
1981-07-07,0.012,1.13,0.099
1981-07-08,0.03,1.089,0.637
1981-07-09,-0.021,2.231,1.442
1981-07-10,0.006,0.848,2.067
1981-07-11,0.014,2.315,1.965
1981-07-12,-0.017,1.688,0.891
1981-07-13,-0.031,1.234,0.422
1981-07-14,-0.034,1.784,0.845
1981-07-15,-0.039,4.467,1.444
1981-07-16,-0.034,3.64,1.686
1981-07-17,-0.018,3.004,1.409
1981-07-18,-0.03,4.161,1.25
1981-07-19,-0.032,5.106,1.041
1981-07-20,-0.035,4.943,0.979
1981-07-21,0.003,2.535,0.723
1981-07-22,-0.03,1.969,0.55
1981-07-23,-0.034,4.167,0.638
1981-07-24,-0.017,2.611,0.804
1981-07-25,-0.057,4.866,0.488
1981-07-26,-0.091,7.042,0.992
1981-07-27,-0.069,8.448,2.283
1981-07-28,-0.053,8.673,2.519
1981-07-29,0.011,3.682,2.634
1981-07-30,0.015,1.319,2.489
1981-07-31,-0.017,1.342,1.861
1981-08-01,-0.028,2.468,1.463
1981-08-02,-0.018,5.986,1.53
1981-08-03,-0.009,3.74,1.194
1981-08-04,-0.024,2.133,1.312
1981-08-05,-0.031,4.394,1.588
1981-08-06,-0.038,4.577,1.37
1981-08-07,-0.018,4.288,1.276
1981-08-08,0.008,2.296,0.438
1981-08-09,-0.009,1.22,0.094
1981-08-10,-0.038,2.798,0.34
1981-08-11,-0.015,3.844,0.785
1981-08-12,0.008,4.815,1.189
1981-08-13,0.002,2.875,1.416
1981-08-14,-0.003,5.014,2.195
1981-08-15,-0.038,4.437,1.692
1981-08-16,-0.014,4.709,1.046
1981-08-17,-0.013,2.988,0.688
1981-08-18,-0.003,1.254,0.202
1981-08-19,0.004,0.454,0.005
1981-08-20,0.017,0.334,0.001
1981-08-21,0.021,0.367,0.001
1981-08-22,-0.003,0.819,0
1981-08-23,-0.008,1.798,0
1981-08-24,-0.028,1.844,0.01
1981-08-25,-0.028,2.271,0.355
1981-08-26,-0.034,4.418,0.608
1981-08-27,-0.049,4.569,0.51
1981-08-28,-0.019,3.468,0.265
1981-08-29,-0.004,1.981,0.514
1981-08-30,-0.022,1.746,0.948
1981-08-31,-0.015,4.265,0.573
1982-06-01,0.029,2.77,0.032
1982-06-02,-0.028,2.398,0.274
1982-06-03,-0.06,2.509,0.267
1982-06-04,0.01,3.593,0.206
